IND,OUTD,CC,TSA,BRD,LOC,defect
1,0,1,3,0,1,NO
16,0,1,2,0,1,NO
1,0,2,2,1,2,NO
0,1,1,2,0,1,NO
0,0,1,2,0,1,NO
0,3,1,2,0,2,NO
1,1,1,2,0,1,NO
1,0,1,1,0,1,NO
1,0,1,1,0,1,NO
1,0,2,2,1,2,NO
1,4,1,1,0,5,NO
1,8,5,1,1,32,NO
2,12,5,2,2,44,YES
1,0,2,4,1,4,NO
1,1,1,4,0,1,NO
1,1,2,4,1,15,NO
1,0,1,2,0,1,NO
1,6,6,2,1,6,NO
1,1,5,3,1,10,NO
3,1,3,3,1,3,NO
3,1,3,3,1,3,NO
1,1,1,3,0,1,NO
2,0,1,3,0,1,NO
2,0,1,2,0,1,NO
1,1,1,2,0,5,NO
1,18,3,1,2,129,YES
1,2,2,3,1,5,NO
1,0,1,3,0,2,NO
1,0,1,3,0,2,NO
1,0,1,3,0,2,NO
1,3,1,1,0,5,NO
1,5,4,1,1,31,NO
3,2,1,2,0,7,NO
1,0,2,4,1,4,NO
1,1,1,4,0,1,NO
1,6,6,2,1,6,NO
1,1,1,1,0,5,NO
1,6,2,1,1,35,NO
6,3,1,2,0,4,NO
2,1,3,4,1,5,NO
1,0,6,2,1,6,NO
2,3,1,1,0,3,NO
2,10,3,2,1,29,YES
5,6,1,2,0,4,NO
4,1,1,2,0,2,NO
1,0,10,2,1,10,NO
2,2,2,2,1,8,NO
2,1,1,2,0,1,NO
2,2,1,1,0,1,NO
1,1,1,2,0,1,NO
2,2,1,2,0,1,NO
1,2,1,2,0,1,NO
0,6,1,2,0,7,NO
0,5,1,2,0,7,NO
4,0,3,2,2,12,NO
1,24,1,1,0,25,NO
1,6,2,2,1,3,NO
1,4,2,2,1,2,NO
1,7,2,2,1,4,NO
1,3,2,2,1,3,NO
1,4,2,2,1,5,NO
1,4,2,2,1,3,NO
1,3,2,2,1,3,NO
1,6,2,2,1,3,NO
1,5,2,2,1,5,NO
1,6,2,2,1,3,NO
1,3,2,2,1,3,NO
1,6,2,2,1,3,NO
1,6,2,2,1,3,NO
1,3,2,2,1,3,NO
1,7,2,2,1,3,NO
1,4,2,2,1,4,NO
1,3,2,2,1,3,NO
1,3,2,2,1,3,NO
1,4,2,2,1,3,NO
1,5,2,2,1,3,NO
1,4,2,2,1,4,NO
0,1,1,2,0,1,NO
1,4,2,2,1,6,NO
1,10,10,2,1,10,YES
2,2,1,2,0,1,NO
2,1,1,2,0,1,NO
2,13,11,4,2,34,YES
1,7,1,2,0,8,NO
1,6,1,2,0,3,NO
3,2,1,2,0,5,NO
5,9,4,2,1,14,NO
1,8,2,2,1,10,NO
2,23,13,2,1,84,YES
2,26,22,2,1,100,YES
4,13,7,2,2,13,YES
2,1,1,1,0,1,NO
1,1,1,2,0,1,NO
3,2,1,2,0,5,NO
1,1,1,2,0,12,NO
1,1,1,1,0,5,NO
0,5,1,1,0,12,NO
1,0,1,1,0,146,YES
0,9,1,1,0,16,NO
1,0,1,1,0,149,YES
0,8,1,1,0,17,NO
1,0,1,1,0,183,YES
1,0,1,1,0,77,NO
0,9,1,1,0,14,NO
1,1,1,2,0,5,NO
0,2,1,1,0,1,NO
0,4,3,1,1,13,NO
1,5,1,2,0,13,NO
0,2,1,1,0,1,NO
1,2,1,2,0,9,NO
0,24,1,1,0,32,NO
0,21,1,1,0,256,YES
3,1,2,2,1,5,NO
3,0,1,1,0,18,NO
4,1,1,1,0,3,NO
5,1,1,1,0,3,NO
0,1,1,1,0,3,NO
3,0,1,1,0,230,YES
0,5,1,1,0,145,YES
