IND,OUTD,CC,TSA,BRD,LOC,defect
2,4,2,3,1,8,NO
3,1,1,2,0,4,NO
2,2,1,2,0,1,NO
4,0,1,3,0,1,NO
1,7,2,3,1,11,NO
1,1,1,3,0,1,NO
1,10,2,2,1,20,YES
3,6,2,4,1,15,NO
2,0,1,3,0,1,NO
1,12,3,3,1,22,YES
1,2,1,2,0,1,NO
1,7,1,3,0,4,NO
3,0,1,1,0,1,NO
0,3,2,3,1,5,NO
1,13,6,3,1,35,YES
2,0,1,1,0,1,NO
3,6,1,3,0,4,NO
1,3,1,2,0,1,NO
1,6,1,2,0,12,NO
1,13,14,4,3,74,YES
0,0,1,1,0,1,NO
1,0,1,0,0,1,NO
1,0,1,0,0,1,NO
1,0,1,0,0,1,NO
1,0,1,0,0,1,NO
2,4,4,3,1,12,NO
2,0,1,1,0,1,NO
2,5,1,3,0,5,NO
1,3,1,2,0,1,NO
1,5,1,2,0,6,NO
1,1,1,1,0,1,NO
2,0,1,1,0,1,NO
1,17,9,3,2,89,YES
2,10,4,4,1,41,YES
1,8,6,4,3,44,YES
1,1,1,1,0,1,NO
2,0,1,1,0,1,NO
1,15,4,3,2,28,YES
3,15,9,2,3,71,YES
0,1,1,1,0,1,NO
1,0,1,1,0,1,NO
1,8,1,2,0,13,NO
2,7,1,3,0,7,NO
1,24,5,2,2,44,YES
1,2,2,3,1,8,NO
4,11,5,2,3,29,YES
3,17,10,3,2,33,YES
1,10,9,4,2,85,YES
0,5,1,3,0,3,NO
3,6,1,4,0,6,NO
4,16,1,1,0,16,YES
2,14,1,1,0,41,YES
1,5,3,3,1,7,NO
0,1,1,2,0,1,NO
1,1,1,2,0,1,NO
3,3,1,2,0,4,NO
1,4,1,3,0,3,NO
2,10,1,3,0,20,YES
7,1,1,2,0,1,NO
2,13,5,3,2,21,YES
2,7,2,4,1,11,NO
1,3,1,2,0,10,NO
1,1,1,3,0,1,NO
1,1,1,2,0,1,NO
2,3,1,3,1,1,NO
1,5,1,3,1,2,NO
3,1,1,4,0,1,NO
1,3,1,3,0,6,NO
2,2,1,3,0,1,NO
3,1,1,2,0,1,NO
0,1,1,2,0,1,NO
1,1,1,2,0,1,NO
0,6,1,3,0,39,YES
1,1,1,2,0,9,NO
1,2,1,2,0,1,NO
1,4,5,3,2,22,YES
2,4,3,3,2,17,YES
0,2,1,4,0,1,NO
1,1,1,4,0,1,NO
3,1,2,3,1,1,NO
2,1,1,3,0,1,NO
0,2,1,2,0,1,NO
0,2,1,2,0,1,NO
0,1,2,2,1,5,NO
1,1,2,2,1,5,NO
1,2,1,1,0,1,NO
1,0,1,1,0,4,NO
1,1,1,1,0,5,NO
1,0,1,1,0,3,NO
2,2,2,1,1,5,NO
0,2,2,1,1,6,NO
0,1,2,2,1,5,NO
3,2,2,1,1,8,NO
0,0,1,1,0,1,NO
0,1,1,2,0,1,NO
1,1,2,2,1,5,NO
1,2,1,1,0,1,NO
1,0,1,1,0,4,NO
3,0,1,1,0,1,NO
0,0,1,2,0,1,NO
1,2,1,1,0,4,NO
2,1,1,2,0,1,NO
2,0,1,1,0,3,NO
1,2,1,1,0,3,NO
1,3,1,1,0,11,NO
2,2,2,1,1,5,NO
1,0,1,1,0,1,NO
3,0,1,2,0,5,NO
0,1,1,3,0,1,NO
0,0,1,2,0,6,NO
0,0,1,4,0,7,NO
0,3,1,3,0,13,NO
3,3,4,3,1,25,YES
0,0,1,2,0,6,NO
1,0,1,2,0,1,NO
0,3,5,2,1,31,YES
