IND,OUTD,CC,TSA,BRD,LOC,defect
0,1,1,1,0,1,NO
0,1,1,2,0,1,NO
0,1,1,2,0,1,NO
2,1,2,2,1,3,NO
1,1,1,3,0,1,NO
1,3,2,4,0,7,NO
0,1,1,2,0,1,NO
0,1,1,2,0,1,NO
1,2,1,2,0,1,NO
1,1,1,2,0,1,NO
9,1,1,2,0,1,YES
17,3,1,2,0,3,YES
1,2,1,3,0,1,NO
6,2,1,3,0,1,YES
1,2,1,1,0,3,NO
1,2,1,1,0,3,NO
1,3,1,1,0,5,NO
1,2,1,1,0,6,NO
1,3,1,1,0,4,NO
1,3,1,1,0,4,NO
1,2,1,1,0,3,NO
1,2,1,1,0,3,NO
1,2,1,1,0,5,NO
1,3,1,1,0,4,NO
1,3,1,1,0,4,NO
1,4,1,1,0,6,NO
1,2,1,1,0,4,NO
1,2,1,2,0,3,NO
1,3,2,1,0,5,NO
1,2,1,1,0,3,NO
1,4,1,1,0,6,NO
1,1,1,2,0,6,NO
2,0,1,3,0,1,NO
1,1,3,4,2,10,NO
1,0,2,2,1,11,YES
1,0,2,1,1,13,YES
1,2,2,3,1,11,YES
1,1,1,2,0,1,NO
1,8,1,3,0,15,YES
2,7,6,4,1,33,YES
1,17,18,4,1,18,YES
1,1,1,6,0,2,YES
1,1,1,2,0,1,NO
3,13,4,3,2,23,YES
1,2,1,2,0,6,NO
2,9,3,3,2,18,YES
1,1,1,5,0,6,NO
1,0,8,4,1,11,YES
3,1,1,1,0,1,NO
3,1,1,1,0,1,NO
4,1,1,1,0,1,NO
3,3,1,3,0,3,NO
1,1,1,2,0,1,NO
1,1,1,2,0,1,NO
2,3,1,3,0,3,NO
1,1,1,1,0,1,NO
1,1,1,1,0,1,NO
2,3,1,2,0,4,NO
1,12,4,5,1,33,YES
3,1,1,2,0,1,NO
3,1,1,2,0,1,NO
2,1,1,3,0,1,NO
1,3,2,1,1,7,NO
6,2,1,2,0,1,YES
1,2,1,3,0,1,NO
3,3,1,1,0,3,NO
1,15,6,2,4,27,YES
1,5,1,1,0,4,NO
1,0,1,4,0,3,NO
0,3,2,1,1,10,NO
2,8,4,1,1,25,YES
1,4,4,2,2,10,NO
1,0,2,3,1,2,NO
2,2,1,1,0,1,NO
1,1,1,1,0,1,NO
2,2,2,2,1,2,NO
2,0,1,2,0,1,NO
2,0,1,2,0,1,NO
