ind,outd,cc,ts,bd,loc
1,0,1,3,0,1
16,0,1,2,0,1
1,0,2,2,1,2
0,1,1,2,0,1
0,0,1,2,0,1
0,3,1,2,0,2
1,1,1,2,0,1
1,0,1,1,0,1
1,0,1,1,0,1
1,0,2,2,1,2
1,4,1,1,0,5
1,8,5,1,1,32
2,12,5,2,2,44
1,0,2,4,1,4
1,1,1,4,0,1
1,1,2,4,1,15
1,0,1,2,0,1
1,6,6,2,1,6
1,1,5,3,1,10
3,1,3,3,1,3
3,1,3,3,1,3
1,1,1,3,0,1
2,0,1,3,0,1
2,0,1,2,0,1
1,1,1,2,0,5
1,18,3,1,2,129
1,2,2,3,1,5
1,0,1,3,0,2
1,0,1,3,0,2
1,0,1,3,0,2
1,3,1,1,0,5
1,5,4,1,1,31
3,2,1,2,0,7
1,0,2,4,1,4
1,1,1,4,0,1
1,6,6,2,1,6
1,1,1,1,0,5
1,6,2,1,1,35
6,3,1,2,0,4
2,1,3,4,1,5
1,0,6,2,1,6
2,3,1,1,0,3
2,10,3,2,1,29
5,6,1,2,0,4
4,1,1,2,0,2
1,0,10,2,1,10
2,2,2,2,1,8
2,1,1,2,0,1
2,2,1,1,0,1
1,1,1,2,0,1
2,2,1,2,0,1
1,2,1,2,0,1
0,6,1,2,0,7
0,5,1,2,0,7
4,0,3,2,2,12
1,24,1,1,0,25
1,6,2,2,1,3
1,4,2,2,1,2
1,7,2,2,1,4
1,3,2,2,1,3
1,4,2,2,1,5
1,4,2,2,1,3
1,3,2,2,1,3
1,6,2,2,1,3
1,5,2,2,1,5
1,6,2,2,1,3
1,3,2,2,1,3
1,6,2,2,1,3
1,6,2,2,1,3
1,3,2,2,1,3
1,7,2,2,1,3
1,4,2,2,1,4
1,3,2,2,1,3
1,3,2,2,1,3
1,4,2,2,1,3
1,5,2,2,1,3
1,4,2,2,1,4
0,1,1,2,0,1
1,4,2,2,1,6
1,10,10,2,1,10
2,2,1,2,0,1
2,1,1,2,0,1
2,13,11,4,2,34
1,7,1,2,0,8
1,6,1,2,0,3
3,2,1,2,0,5
5,9,4,2,1,14
1,8,2,2,1,10
2,23,13,2,1,84
2,26,22,2,1,100
4,13,7,2,2,13
2,1,1,1,0,1
1,1,1,2,0,1
3,2,1,2,0,5
1,1,1,2,0,12
1,1,1,1,0,5
0,5,1,1,0,12
1,0,1,1,0,146
0,9,1,1,0,16
1,0,1,1,0,149
0,8,1,1,0,17
1,0,1,1,0,183
1,0,1,1,0,77
0,9,1,1,0,14
1,1,1,2,0,5
0,2,1,1,0,1
0,4,3,1,1,13
1,5,1,2,0,13
0,2,1,1,0,1
1,2,1,2,0,9
0,24,1,1,0,32
0,21,1,1,0,256
3,1,2,2,1,5
3,0,1,1,0,18
4,1,1,1,0,3
5,1,1,1,0,3
0,1,1,1,0,3
3,0,1,1,0,230
0,5,1,1,0,145
