ind,outd,cc,ts,bd,loc
1,2,2,3,1,3
2,1,1,2,0,1
3,1,1,2,0,1
2,1,1,2,0,1
1,1,1,2,0,1
3,1,1,2,0,1
0,1,1,1,0,1
0,5,2,4,1,8
0,1,1,2,0,1
1,1,1,1,0,1
1,2,2,2,1,2
4,1,2,2,1,2
0,1,1,2,0,1
1,11,2,2,1,16
1,1,1,2,0,1
1,1,1,2,0,1
1,1,2,3,1,4
2,1,1,1,0,1
1,1,2,2,1,2
1,1,1,2,0,1
0,1,1,2,0,1
2,2,2,2,1,2
0,1,1,2,0,1
0,1,1,2,0,1
2,10,4,3,2,8
1,1,1,2,0,1
1,3,2,3,1,3
2,6,5,3,2,9
9,1,1,2,0,1
1,3,3,3,1,6
0,6,1,5,0,4
1,1,1,3,0,1
0,1,1,2,0,1
0,1,1,2,0,1
0,1,1,2,0,1
2,4,2,2,1,12
2,7,3,2,1,24
0,3,1,4,0,3
2,2,2,2,1,2
1,3,2,3,1,2
1,2,2,2,1,2
3,3,3,2,1,3
0,4,3,3,1,7
2,3,2,3,1,3
1,4,3,4,1,17
1,4,3,5,1,22
0,14,1,8,0,12
0,2,2,3,1,2
3,5,5,2,2,15
3,1,1,2,0,1
2,1,1,2,0,1
5,1,1,2,0,1
2,2,1,2,0,1
1,1,1,4,0,1
1,1,1,2,0,1
0,1,2,2,1,2
3,2,2,2,1,2
0,1,1,3,0,1
1,4,2,2,1,2
2,2,1,2,0,1
2,1,1,2,0,1
7,1,1,2,0,1
2,1,1,2,0,1
3,1,1,2,0,1
2,1,2,3,1,2
0,5,1,3,0,5
1,1,1,3,0,1
1,1,1,3,0,1
1,3,2,2,1,2
1,1,1,2,0,1
1,1,1,2,0,1
1,2,1,2,0,1
0,1,1,3,0,1
1,1,1,2,0,1
0,1,1,2,0,1
0,11,8,3,6,32
0,5,2,2,1,8
0,2,3,3,2,9
1,10,5,2,1,48
1,4,1,4,0,4
1,8,7,3,5,25
0,5,2,3,1,4
0,1,1,1,0,1
0,1,1,3,0,1
2,1,1,3,0,1
1,1,2,3,1,6
1,1,1,2,0,1
1,2,2,3,1,2
1,1,2,2,1,2
1,1,1,3,0,1
1,6,3,6,1,8
1,3,3,2,1,3
2,1,1,0,0,1
0,1,1,0,0,1
4,1,1,0,0,1
1,1,1,0,0,1
2,1,1,0,0,1
5,1,1,0,0,1
1,1,1,0,0,1
5,1,1,0,0,1
1,16,3,2,1,20
1,1,1,0,0,1
1,1,1,0,0,1
3,1,1,0,0,1
4,1,1,0,0,1
2,1,1,0,0,1
1,1,1,0,0,1
5,1,1,0,0,1
6,17,1,3,0,16
1,2,2,2,1,4
2,0,1,2,0,1
1,1,1,4,0,1
1,7,1,3,0,8
1,37,8,3,2,116
1,5,2,2,1,4
1,3,2,2,1,4
1,3,2,2,1,4
2,0,1,2,0,1
1,18,6,6,1,41
1,14,1,3,0,27
1,8,1,5,0,16
1,11,1,2,0,12
1,14,2,5,1,29
1,7,3,2,1,15
7,8,1,7,0,8
3,1,1,2,0,1
1,1,1,2,0,1
0,1,1,2,0,1
5,1,1,3,0,1
2,1,1,2,0,1
1,6,3,3,1,19
1,20,3,3,1,42
2,1,1,2,0,1
1,23,9,4,2,98
6,0,1,2,0,1
1,14,1,4,0,15
1,9,2,4,1,55
2,6,1,6,0,6
3,0,1,2,0,1
1,2,1,4,0,5
4,3,2,2,1,2
1,2,2,2,1,3
0,1,1,4,0,6
5,0,1,3,0,2
0,2,1,4,0,8
0,1,1,3,0,1
1,0,1,4,0,3
1,0,1,2,0,3
2,0,1,2,0,3
1,0,4,3,0,14
0,1,1,2,0,1
2,0,1,2,0,1
1,6,1,1,0,13
1,18,6,2,3,25
1,1,2,2,1,4
1,1,2,2,1,4
1,1,2,2,1,4
1,3,2,2,1,4
0,1,1,1,0,3
1,2,1,2,0,1
1,3,4,2,2,8
1,0,1,2,0,1
