ind,outd,cc,ts,bd,loc
2,4,2,3,1,8
3,1,1,2,0,4
2,2,1,2,0,1
4,0,1,3,0,1
1,7,2,3,1,11
1,1,1,3,0,1
1,10,2,2,1,20
3,6,2,4,1,15
2,0,1,3,0,1
1,12,3,3,1,22
1,2,1,2,0,1
1,7,1,3,0,4
3,0,1,1,0,1
0,3,2,3,1,5
1,13,6,3,1,35
2,0,1,1,0,1
3,6,1,3,0,4
1,3,1,2,0,1
1,6,1,2,0,12
1,13,14,4,3,74
0,0,1,1,0,1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,1,0,0,1
2,4,4,3,1,12
2,0,1,1,0,1
2,5,1,3,0,5
1,3,1,2,0,1
1,5,1,2,0,6
1,1,1,1,0,1
2,0,1,1,0,1
1,17,9,3,2,89
2,10,4,4,1,41
1,8,6,4,3,44
1,1,1,1,0,1
2,0,1,1,0,1
1,15,4,3,2,28
3,15,9,2,3,71
0,1,1,1,0,1
1,0,1,1,0,1
1,8,1,2,0,13
2,7,1,3,0,7
1,24,5,2,2,44
1,2,2,3,1,8
4,11,5,2,3,29
3,17,10,3,2,33
1,10,9,4,2,85
0,5,1,3,0,3
3,6,1,4,0,6
4,16,1,1,0,16
2,14,1,1,0,41
1,5,3,3,1,7
0,1,1,2,0,1
1,1,1,2,0,1
3,3,1,2,0,4
1,4,1,3,0,3
2,10,1,3,0,20
7,1,1,2,0,1
2,13,5,3,2,21
2,7,2,4,1,11
1,3,1,2,0,10
1,1,1,3,0,1
1,1,1,2,0,1
2,3,1,3,1,1
1,5,1,3,1,2
3,1,1,4,0,1
1,3,1,3,0,6
2,2,1,3,0,1
3,1,1,2,0,1
0,1,1,2,0,1
1,1,1,2,0,1
0,6,1,3,0,39
1,1,1,2,0,9
1,2,1,2,0,1
1,4,5,3,2,22
2,4,3,3,2,17
0,2,1,4,0,1
1,1,1,4,0,1
3,1,2,3,1,1
2,1,1,3,0,1
0,2,1,2,0,1
0,2,1,2,0,1
0,1,2,2,1,5
1,1,2,2,1,5
1,2,1,1,0,1
1,0,1,1,0,4
1,1,1,1,0,5
1,0,1,1,0,3
2,2,2,1,1,5
0,2,2,1,1,6
0,1,2,2,1,5
3,2,2,1,1,8
0,0,1,1,0,1
0,1,1,2,0,1
1,1,2,2,1,5
1,2,1,1,0,1
1,0,1,1,0,4
3,0,1,1,0,1
0,0,1,2,0,1
1,2,1,1,0,4
2,1,1,2,0,1
2,0,1,1,0,3
1,2,1,1,0,3
1,3,1,1,0,11
2,2,2,1,1,5
1,0,1,1,0,1
3,0,1,2,0,5
0,1,1,3,0,1
0,0,1,2,0,6
0,0,1,4,0,7
0,3,1,3,0,13
3,3,4,3,1,25
0,0,1,2,0,6
1,0,1,2,0,1
0,3,5,2,1,31
